Date,Open,High,Low,Close
2/22/2022,2719.8866,2750.3087,2719.8866,2735.9339
2/23/2022,2732.4768,2747.5644,2715.9119,2720.4351
2/24/2022,2715.4407,2715.8296,2654.3773,2661.4419
2/27/2022,2660.3896,2680.3917,2638.013,2653.7086
2/28/2022,2662.2606,2683.7528,2606.6211,2610.5873
3/2/2022,2612.5056,2612.5056,2542.1071,2547.0496
3/6/2022,2542.5671,2568.6205,2527.9723,2543.3924
3/7/2022,2542.6595,2566.6381,2538.2881,2544.9472
3/9/2022,2542.4169,2557.558,2504.3745,2514.5882
3/10/2022,2512.0428,2566.9004,2498.4585,2566.9004
3/13/2022,2575.265,2667.9744,2575.2168,2667.9744
3/14/2022,2677.9664,2683.411,2650.2362,2668.1194
3/15/2022,2673.5518,2677.3617,2637.1598,2650.9713
3/16/2022,2653.5711,2661.2871,2625.9618,2631.2518
3/20/2022,2634.1051,2644.4659,2607.7479,2616.5851
3/21/2022,2620.1303,2634.6617,2600.9255,2634.6598
3/22/2022,2634.4157,2658.0581,2634.4157,2650.7014
3/23/2022,2651.4094,2654.4884,2622.6966,2630.364
3/24/2022,2630.9301,2639.0115,2611.1801,2613.6728
3/27/2022,2623.2013,2642.3283,2567.7577,2572.2676
3/28/2022,2574.1229,2580.3328,2537.8773,2541.8364
3/29/2022,2542.6492,2562.4036,2519.8991,2527.5808
3/30/2022,2527.7709,2568.2564,2515.8022,2568.2564
3/31/2022,2568.7564,2584.5436,2538.1343,2544.3094
4/3/2022,2544.4774,2547.0483,2509.7614,2513.4154
4/4/2022,2517.4146,2525.5425,2495.8484,2498.5321
4/5/2022,2507.7672,2507.7671,2434.2715,2452.0688
4/6/2022,2451.8051,2458.3533,2416.3805,2428.6632
4/7/2022,2427.968,2476.3709,2427.712,2464.3577
4/11/2022,2471.8115,2510.1331,2415.9058,2419.801
4/12/2022,2424.7078,2428.8023,2379.4809,2385.0103
4/13/2022,2385.2396,2415.3575,2366.9427,2415.2459
4/17/2022,2422.3436,2437.6799,2379.5369,2385.6477
4/18/2022,2386.6623,2387.5118,2341.9287,2343.8741
4/19/2022,2347.2061,2372.3202,2314.4234,2357.247
4/20/2022,2364.4694,2367.2569,2316.6968,2320.5175
4/21/2022,2327.0812,2333.9387,2286.6016,2325.4525
4/24/2022,2331.5145,2430.2827,2331.5145,2420.9681
4/25/2022,2423.743,2444.5502,2381.9304,2386.0178
4/26/2022,2386.0391,2402.2387,2358.7629,2370.9979
4/27/2022,2373.1037,2376.6305,2348.5753,2376.1702
4/28/2022,2380.1629,2390.2797,2351.4838,2356.1745
5/2/2022,2358.2365,2359.4026,2303.2652,2307.4462
5/4/2022,2310.5106,2312.0741,2269.7372,2275.6867
5/5/2022,2275.4268,2275.4268,2225.792,2238.6281
5/8/2022,2238.8056,2256.6484,2204.373,2256.5765
5/9/2022,2263.0602,2289.8446,2255.4527,2268.8478
5/10/2022,2269.3558,2314.6364,2268.7613,2313.004
5/11/2022,2313.2824,2369.1758,2313.2824,2369.0678
5/12/2022,2373.3796,2389.0709,2343.3326,2350.4268
5/17/2022,2350.4268,2350.4268,2263.3051,2265.5231
5/18/2022,2262.9942,2281.9636,2237.9803,2274.4273
5/19/2022,2274.799,2282.8808,2247.6036,2250.9161
5/20/2022,2251.4921,2258.511,2231.3388,2235.0958
5/23/2022,2241.2609,2249.6273,2191.0351,2200.8837
5/24/2022,2203.1395,2227.8712,2190.5286,2217.1995
5/25/2022,2222.492,2243.5718,2222.0128,2231.5721
5/26/2022,2240.6076,2245.4269,2222.8946,2239.6001
5/27/2022,2242.4614,2250.6952,2214.6489,2223.7826
5/30/2022,2227.4344,2233.5413,2173.4496,2173.4496
5/31/2022,2172.0166,2172.0166,2126.3955,2137.9245
6/1/2022,2138.0627,2154.587,2119.4189,2130.7314
6/2/2022,2130.3474,2142.656,2107.7761,2112.4735
6/3/2022,2113.1345,2117.4033,2071.9379,2078.7092
6/6/2022,2079.5979,2093.9527,2054.1311,2065.8239
6/7/2022,2065.1922,2065.1922,2016.7831,2020.2339
6/8/2022,2019.5377,2096.1825,2017.2521,2080.449
6/9/2022,2082.448,2115.608,2058.2886,2062.8068
6/10/2022,2067.7604,2070.0178,2036.5585,2048.1645
6/13/2022,2049.3075,2052.4762,2027.0512,2032.3401
6/14/2022,2032.5257,2034.8103,1990.328,1996.2599
6/15/2022,1999.0465,1999.0854,1945.4216,1966.3727
6/16/2022,1966.8928,1993.9552,1950.7687,1978.9434
6/17/2022,1981.2141,1991.5897,1966.8525,1971.3872
6/19/2022,1971.8376,1974.2292,1928.1912,1934.1191
6/20/2022,1934.0306,1934.6481,1879.6927,1884.8125
6/21/2022,1884.2477,1931.9129,1877.8021,1924.7403
6/22/2022,1925.4645,1926.9941,1889.7065,1893.5341
6/23/2022,1889.4009,1889.404,1835.8871,1848.282
6/24/2022,1848.3754,1879.4556,1806.9517,1862.0639
6/26/2022,1863.4693,1957.0994,1863.4367,1956.9872
6/27/2022,1967.3041,1987.5933,1931.1742,1933.1336
6/28/2022,1935.5361,1936.0199,1908.7415,1921.3181
6/29/2022,1924.914,1963.7799,1915.1995,1962.7115
6/30/2022,1966.8572,2037.6425,1966.8572,2037.6425
7/1/2022,2041.9412,2053.9877,2015.5661,2028.7748
7/3/2022,2028.7917,2086.4239,2020.9648,2086.4239
7/4/2022,2095.622,2148.6178,2059.0001,2076.6707
7/5/2022,2078.6259,2091.8886,2025.5708,2030.5927
7/6/2022,2036.46,2047.3748,1994.5489,2043.9225
7/7/2022,2051.4971,2080.9639,2023.0171,2027.323
7/8/2022,2031.8747,2033.4099,1988.4329,1992.6223
7/11/2022,1993.3311,1993.5543,1912.4931,1915.6108
7/12/2022,1916.411,1947.5441,1908.5925,1927.2894
7/13/2022,1928.5013,1986.8258,1928.5013,1986.8258
7/14/2022,1987.3225,2012.1689,1977.1434,2001.5354
7/15/2022,2002.9556,2009.8958,1989.1904,2009.4672
7/17/2022,2010.923,2018.973,1994.751,2011.3998
7/18/2022,2011.7111,2029.4685,2000.1457,2029.4345
7/19/2022,2029.7131,2062.3613,2028.1768,2045.6997
7/20/2022,2046.2076,2061.5659,2033.2832,2050.5946
7/21/2022,2052.9505,2066.0724,2038.3362,2044.727
7/22/2022,2046.6248,2047.2974,2013.4677,2017.4645
7/24/2022,2027.8038,2078.5139,2027.6663,2078.5139
7/25/2022,2081.9802,2134.6248,2081.6592,2132.9625
7/26/2022,2134.1365,2141.6173,2085.8349,2088.1622
7/27/2022,2089.0129,2112.1163,2065.9686,2111.9903
7/28/2022,2113.3518,2156.3903,2105.7016,2127.4753
