Date,Open,High,Low,Close,Percent Change,Volume
2018-09-30,1267.18,1267.76,1253.44,1256.71,-0.83,561558976.0
2018-09-27,1277.74,1278.71,1266.18,1267.18,-0.83,492740992.0
2018-09-26,1280.05,1288.52,1270.05,1277.74,-0.18,890030016.0
2018-09-25,1257.68,1283.45,1257.74,1280.05,1.78,1051049984.0
2018-09-23,1255.09,1260.39,1250.9,1257.68,0.21,618721024.0
2018-09-20,1258.81,1260.96,1249.78,1255.07,-0.3,528860992.0
2018-09-18,1256.4,1261.61,1251.25,1258.81,0.19,440420000.0
2018-09-17,1256.55,1261.19,1247.9,1256.4,-0.01,579804992.0
2018-09-16,1244.84,1270.19,1244.99,1256.53,0.94,886097024.0
2018-09-13,1230.71,1246.24,1230.8,1244.84,1.15,687436992.0
2018-09-12,1217.65,1230.96,1215.62,1230.71,1.07,399812000.0
2018-09-11,1210.88,1224.6,1210.88,1217.65,0.56,314528000.0
2018-09-10,1218.98,1220.25,1206.88,1210.88,-0.66,234584000.0
2018-09-09,1229.77,1230.37,1217.33,1218.98,-0.88,298512992.0
2018-09-06,1234.15,1247.35,1224.25,1229.77,-0.35,695782016.0
2018-09-05,1210.24,1243.61,1210.3,1234.13,1.97,690163008.0
2018-09-04,1206.26,1214.2,1202.68,1210.24,0.33,405795008.0
2018-09-03,1190.28,1213.86,1190.27,1206.26,1.34,519075008.0
2018-09-02,1181.69,1191.93,1178.59,1190.28,0.73,283239008.0
2018-08-30,1172.3,1181.69,1170.69,1181.69,0.8,214779008.0
2018-08-29,1177.09,1177.79,1171.0,1172.3,-0.41,177668000.0
2018-08-28,1175.72,1177.09,1172.78,1177.09,0.12,176827008.0
2018-08-26,1178.5,1178.67,1175.5,1175.72,-0.24,131823000.0
2018-08-23,1182.42,1183.13,1175.35,1178.5,-0.33,261260992.0
2018-08-22,1183.89,1185.34,1180.26,1182.42,-0.12,105630000.0
2018-08-21,1188.08,1188.27,1181.98,1183.89,-0.35,173720000.0
2018-08-20,1196.29,1196.84,1185.82,1188.07,-0.69,193962000.0
2018-08-19,1210.32,1210.75,1195.7,1196.29,-1.16,281052992.0
2018-08-16,1209.71,1218.71,1203.14,1210.32,0.05,410744992.0
2018-08-15,1180.98,1210.09,1180.99,1209.71,2.43,315848000.0
2018-08-14,1174.37,1181.39,1170.09,1180.98,0.56,179439008.0
2018-08-13,1163.94,1174.62,1161.96,1174.37,0.9,162339008.0
2018-08-12,1180.63,1181.58,1163.41,1163.94,-1.41,240828992.0
2018-08-09,1187.32,1189.23,1179.25,1180.63,-0.56,185994000.0
2018-08-08,1188.21,1190.3,1186.09,1187.32,-0.08,139159008.0
2018-08-07,1189.67,1192.06,1186.26,1188.21,-0.12,171795008.0
2018-08-06,1189.88,1192.97,1188.05,1189.67,-0.02,156654000.0
2018-08-05,1191.31,1192.53,1188.44,1189.88,-0.12,158752992.0
2018-08-02,1193.87,1195.94,1191.13,1191.31,-0.21,185231008.0
2018-08-01,1191.47,1194.61,1190.04,1193.87,0.2,166588000.0
2018-07-31,1194.38,1196.56,1189.77,1191.47,-0.24,162706000.0
2018-07-30,1194.82,1198.56,1193.17,1194.38,-0.04,271272992.0
2018-07-29,1191.2,1196.79,1191.2,1194.82,0.3,175888992.0
2018-07-26,1194.35,1197.0,1188.15,1191.2,-0.26,179884992.0
2018-07-25,1194.5,1200.0,1192.26,1194.35,-0.41,148591008.0
2018-07-24,1194.5,1213.15,1194.09,1199.27,0.4,281844992.0
2018-07-23,1181.66,1194.9,1181.4,1194.5,1.09,178876992.0
2018-07-22,1193.39,1194.0,1181.12,1181.66,-0.98,198144992.0
2018-07-19,1198.77,1199.54,1192.78,1193.39,-0.45,239239008.0
2018-07-18,1204.31,1205.15,1196.21,1198.77,-0.46,163767008.0
2018-07-17,1212.36,1214.85,1202.85,1204.31,-0.66,192836992.0
2018-07-16,1200.09,1212.36,1197.06,1212.36,1.02,93616400.0
2018-07-15,1191.98,1200.31,1192.0,1200.09,0.68,160974000.0
2018-07-12,1205.64,1210.6,1190.09,1191.98,-1.13,372244992.0
2018-07-11,1205.93,1221.75,1204.29,1205.64,-0.02,353544992.0
2018-07-10,1206.43,1214.45,1202.79,1205.93,-0.04,252370000.0
2018-07-09,1224.39,1226.09,1204.95,1206.43,-1.47,381536000.0
2018-07-08,1224.41,1240.93,1224.37,1224.39,0.0,453251008.0
2018-07-05,1188.4,1224.41,1188.37,1224.41,3.03,445847008.0
2018-07-04,1180.36,1190.17,1175.88,1188.4,0.68,226062000.0
2018-07-03,1179.71,1183.03,1174.56,1180.36,0.06,180480000.0
2018-07-02,1184.53,1187.04,1174.83,1179.71,-0.41,196692992.0
2018-07-01,1198.54,1199.05,1183.52,1184.53,-1.17,187736992.0
2018-06-28,1199.42,1203.96,1197.34,1198.54,-0.07,219600992.0
2018-06-27,1194.8,1205.53,1190.95,1199.42,0.39,159571008.0
2018-06-26,1210.09,1211.17,1194.35,1194.8,-1.26,208990000.0
2018-06-25,1219.81,1220.76,1209.02,1210.09,-0.8,178132000.0
2018-06-24,1218.46,1227.74,1216.21,1219.81,0.11,173104992.0
2018-06-21,1217.84,1225.43,1211.31,1218.46,0.05,170062000.0
2018-06-20,1226.18,1226.83,1217.46,1217.84,-0.68,242912992.0
2018-06-19,1235.15,1236.48,1223.93,1226.18,-0.73,189708992.0
2018-06-18,1233.23,1235.15,1221.92,1235.15,0.16,188058000.0
